annee;cde_pays;pays;cde_mesure;mesure;cde_unite;unite;cde_domaine;domaine;valeur_mesuree
2004;AUT;Autriche;Accessibilite financiere du logement;Accessibilite financiere du logement;PT_B7G_S14;Pourcentage du revenu disponible brut ajuste des menages;HSL_3;Logement;80,54789005
2004;AUT;Autriche;Esperance de vie a  la naissance;Esperance de vie a  la naissance;Y;Annees;HSL_5;Sante;79,3
2004;AUT;Autriche;Deces dus au suicide, a  l alcool ou a  la drogue;Deces dus au suicide, a  l alcool ou a  la drogue;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_5;Sante;28,29798509
2004;AUT;Autriche;Mortalite routiere;Mortalite routiere;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;10,74404862
2004;AUT;Autriche;Homicides;Homicides;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;0,8
2004;AUT;Autriche;Exposition a  la pollution de l air;Exposition a  la pollution de l air;PT_POP;Pourcentage de la population;HSL_9;Qualite environnementale;99,998993
2004;AUT;Autriche;Exposition a  des temperatures extraªmes;Exposition a  des temperatures extraªmes;PT_POP;Pourcentage de la population;HSL_9;Qualite environnementale;0
2004;AUT;Autriche;Incapacite a  maintenir le logement a  bonne temperature;Incapacite a  maintenir le logement a  bonne temperature;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_3;Logement;2,3
2004;AUT;Autriche;Difficultes a  joindre les deuxÂ bouts;Difficultes a  joindre les deuxÂ bouts;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_1;Revenu et patrimoine;10,7
2004;AUT;Autriche;Etat de sante percu comme bon;Etat de sante percu comme bon;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_5;Sante;71,2
2004;AUT;Autriche;Etat de sante percu comme mauvais;Etat de sante percu comme mauvais;PT_POP_Y_GE16;Pourcentage de la population a¢gee de 16 ans ou plus;HSL_5;Sante;8,6
