depense_cat_courte;definition
Defense;Protéger le territoire, anticiper les menaces et garder une longueur d’avance (au cas où).
Services generaux des administrations publiques;Faire tourner la machine publique : gestion, diplomatie… et quelques réunions au passage.
Sante;Soigner, prévenir, accompagner — histoire de rester en forme le plus longtemps possible.
Protection de l environnement;Préserver les ressources et limiter la casse sur le long terme.
Affaires economiques;Donner un coup de pouce à l’économie, aux entreprises et à l’emploi.
Protection sociale;Soutenir les citoyens face aux imprévus : chômage, retraite, difficultés.
Ordre et securite publics;Maintenir l’ordre, faire respecter les règles et assurer la sécurité de tous.
Logements et equipements collectifs;Aménager le territoire et améliorer le cadre de vie au quotidien.
Enseignement;Transmettre les savoirs et préparer les générations futures.
Loisirs, culture et culte;Nourrir l’esprit, se divertir et laisser une place à ce qui dépasse le quotidien.
