cde_operation;operation;cde_depense;depense_cat;depense_cat_courte;depense_courte;depense;annee;montant;cde_pays;pays
OTE;Total des depenses des administrations publiques (*);GF01;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques;01 - Services generaux des administrations publiques;1995;101,098;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0101;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Organes executifs et legislatifs, affaires finan., fiscales et etrangeres;01.1 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres;1995;22,262;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Aide economique exterieure;01.2 - Aide economique exterieure;1995;1,398;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux;01.3 - Services generaux;1995;23,289;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0104;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Recherche fondamentale;01.4 - Recherche fondamentale;1995;9,668;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;1995;0,001;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Services generaux des administrations publiques n.c.a.;01.6 - Services generaux des administrations publiques n.c.a.;1995;0,557;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Operations concernant la dette publique;01.7 - Operations concernant la dette publique;1995;43,924;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;Transferts de caractere general entre administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;1995;0;FRA;France
OTE;Total des depenses des administrations publiques (*);GF02;02 - Defense;Defense;Defense nationale;02 - Defense;1995;29,851;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0201;02 - Defense;Defense;Defense militaire;02.1 - Defense militaire;1995;25,904;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0202;02 - Defense;Defense;Defense civile;02.2 - Defense civile;1995;0,313;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0203;02 - Defense;Defense;Aide militaire a des pays etrangers;02.3 - Aide militaire a des pays etrangers;1995;0,769;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0204;02 - Defense;Defense;R et D concernant la defense;02.4 - R-D concernant la defense;1995;1,845;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0205;02 - Defense;Defense;Defense n.c.a.;02.5 - Defense n.c.a.;1995;1,021;FRA;France
OTE;Total des depenses des administrations publiques (*);GF03;03 - Ordre et securite publics;Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;1995;18,027;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0301;03 - Ordre et securite publics;Ordre et securite publics;Services de police;03.1 - Services de police;1995;11,338;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0302;03 - Ordre et securite publics;Ordre et securite publics;Services de protection civile;03.2 - Services de protection civile;1995;1,644;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0303;03 - Ordre et securite publics;Ordre et securite publics;Tribunaux;03.3 - Tribunaux;1995;3,073;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0304;03 - Ordre et securite publics;Ordre et securite publics;Administration penitentiaire;03.4 - Administration penitentiaire;1995;1,596;FRA;France
OTE;Total des depenses des administrations publiques (*);GF0305;03 - Ordre et securite publics;Ordre et securite publics;RetD concernant l ordre et la securite publics;03.5 - R-D concernant l'ordre et la securite publics;1995;0,003;FRA;France
