cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF0204;02 - Defense;Defense;02.4 - R-D concernant la defense;R et D concernant la defense;2002;0
HRV;Croatie;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;Transferts de caractere general entre administrations publiques;2002;0
HRV;Croatie;GF0203;02 - Defense;Defense;02.3 - Aide militaire a des pays etrangers;Aide militaire a des pays etrangers;2002;0
HRV;Croatie;GF0703;07 - Sante;Sante;07.3 - Services hospitaliers;Services hospitaliers;2002;0,88907
HRV;Croatie;GF0505;05 - Protection de l environnement;Protection de l environnement;05.5 - R-D dans le domaine de la protection de l environnement;RetD dans le domaine de la protection de l'environnement;2002;0,00329
HRV;Croatie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2002;0,39696
HRV;Croatie;GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.7 - Operations concernant la dette publique;Operations concernant la dette publique;2002;0,51144
HRV;Croatie;GF0705;07 - Sante;Sante;07.5 - R-D dans le domaine de la sante;RetD dans le domaine de la sante;2002;0,02342
HRV;Croatie;GF02;02 - Defense;Defense;02 - Defense;Defense nationale;2002;0,41466
HRV;Croatie;GF0403;04 - Affaires economiques;Affaires economiques;04.3 - Combustibles et energie;Combustibles et energie;2002;0,01074
HRV;Croatie;GF1005;10 - Protection sociale;Protection sociale;10.5 - Chomage;Chomage;2002;0,18348
HRV;Croatie;GF0405;04 - Affaires economiques;Affaires economiques;04.5 - Transports;Transports;2002;1,34564
HRV;Croatie;GF0304;03 - Ordre et securite publics;Ordre et securite publics;03.4 - Administration penitentiaire;Administration penitentiaire;2002;0,04417
HRV;Croatie;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.3 - Services generaux;Services generaux;2002;0,12482
HRV;Croatie;GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.4 - eclairage public;Eclairage public;2002;0,02237
HRV;Croatie;GF0306;03 - Ordre et securite publics;Ordre et securite publics;03.6 - Ordre et securite publics n.c.a.;Ordre et securite publics n.c.a.;2002;0,03802
HRV;Croatie;GF0903;09 - Enseignement;Enseignement;09.3 - Enseignement postsecondaire non superieur;Enseignement postsecondaire non superieur;2002;0,0003
HRV;Croatie;GF09;09 - Enseignement;Enseignement;09 - Enseignement;Enseignement;2002;1,77771
HRV;Croatie;GF1006;10 - Protection sociale;Protection sociale;10.6 - Logement;Logement;2002;0,03216
