annee;cde_pays;pays;cde_unite;unite;valeur_mesuree
2002;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;70,7
2002;AUT;Autriche;XDC;Monnaie nationale;159110,9
2003;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;69,7
2003;AUT;Autriche;XDC;Monnaie nationale;160705,6
2004;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;68,8
2004;AUT;Autriche;XDC;Monnaie nationale;165422,5
2005;AUT;Autriche;XDC;Monnaie nationale;183052,4
2005;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;72,5
2006;AUT;Autriche;XDC;Monnaie nationale;190628,8
2006;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;71,7
2007;AUT;Autriche;XDC;Monnaie nationale;196121,3
2007;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;69,5
2008;AUT;Autriche;XDC;Monnaie nationale;214420,5
2008;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;73,5
2009;AUT;Autriche;XDC;Monnaie nationale;241336,8
2009;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;84,3
2010;AUT;Autriche;XDC;Monnaie nationale;256951,2
2010;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;87,4
2011;AUT;Autriche;XDC;Monnaie nationale;268496,3
2011;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;87,1
2012;AUT;Autriche;XDC;Monnaie nationale;285055
2012;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;90
2013;AUT;Autriche;XDC;Monnaie nationale;289288,4
2013;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;90,1
2014;AUT;Autriche;XDC;Monnaie nationale;305692,8
2014;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;92,6
2015;AUT;Autriche;XDC;Monnaie nationale;318136,3
2015;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;93
2016;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;90,7
2016;AUT;Autriche;XDC;Monnaie nationale;322631,8
2017;AUT;Autriche;XDC;Monnaie nationale;318201
2017;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;86,6
2018;AUT;Autriche;XDC;Monnaie nationale;315370,5
2018;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;82,3
2019;AUT;Autriche;XDC;Monnaie nationale;310955,5
2019;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;78,6
2020;AUT;Autriche;XDC;Monnaie nationale;353168,7
2020;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;92,9
2021;AUT;Autriche;XDC;Monnaie nationale;373878
2021;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;92
2022;AUT;Autriche;XDC;Monnaie nationale;390571,4
2022;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;86,9
2023;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;86,1
2023;AUT;Autriche;XDC;Monnaie nationale;411645,8
2024;AUT;Autriche;PT_B1GQ;Pourcentage du PIB;88,1
2024;AUT;Autriche;XDC;Monnaie nationale;435176,7
2002;BEL;Belgique;XDC;Monnaie nationale;297147
2002;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;108,7
2003;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;107,1
2003;BEL;Belgique;XDC;Monnaie nationale;301133
2004;BEL;Belgique;XDC;Monnaie nationale;302730
2004;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;102
2005;BEL;Belgique;XDC;Monnaie nationale;309644
2005;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;99,9
2006;BEL;Belgique;XDC;Monnaie nationale;312261
2006;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;96
2007;BEL;Belgique;XDC;Monnaie nationale;316154
2007;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;92
2008;BEL;Belgique;XDC;Monnaie nationale;342953
2008;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;97,5
2009;BEL;Belgique;XDC;Monnaie nationale;364364
2009;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;104,8
2010;BEL;Belgique;XDC;Monnaie nationale;380516
2010;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;104,8
2011;BEL;Belgique;XDC;Monnaie nationale;406651
2011;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;107,4
2012;BEL;Belgique;XDC;Monnaie nationale;422672
2012;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;109
2013;BEL;Belgique;XDC;Monnaie nationale;432586
2013;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;109,6
2014;BEL;Belgique;XDC;Monnaie nationale;451613
2014;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;111,5
2015;BEL;Belgique;XDC;Monnaie nationale;459251
2015;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;110,5
2016;BEL;Belgique;XDC;Monnaie nationale;474580
2016;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;110,8
2017;BEL;Belgique;XDC;Monnaie nationale;480533
2017;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;108,4
2018;BEL;Belgique;XDC;Monnaie nationale;486431
2018;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;105,9
2019;BEL;Belgique;XDC;Monnaie nationale;494938
2019;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;103,2
2020;BEL;Belgique;XDC;Monnaie nationale;547943
2020;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;118,2
2021;BEL;Belgique;XDC;Monnaie nationale;583968
2021;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;115,4
2022;BEL;Belgique;XDC;Monnaie nationale;617570
2022;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;110
2023;BEL;Belgique;XDC;Monnaie nationale;651754
2023;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;108,2
2024;BEL;Belgique;XDC;Monnaie nationale;677956
2024;BEL;Belgique;PT_B1GQ;Pourcentage du PIB;109,3
