annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2002;D995;Transferts en capital des administrations publiques vers les secteurs concernes correspondant a des impots et contributions sociales notifies mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0
2002;D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0
2002;D2122F;Benefices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0
2002;D995FS;Cotisations sociales effectives a la charge des travailleurs independants dues non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D59A;Impots courants sur le capital;AUT;Autriche;EUR;Euro;0
2002;D995G;Impots en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D995D;Autres impots courants dus non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D59E;Impots sur les transactions internationales;AUT;Autriche;EUR;Euro;0
2002;D51C1;Impots sur les gains de detention des personnes physiques ou des menages;AUT;Autriche;EUR;Euro;0
2002;D995F;Cotisations sociales effectives a la charge des menages dues non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D2122D;Impots generaux sur les ventes;AUT;Autriche;EUR;Euro;0
2002;D61SC;Remuneration du service des regimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0
2002;D995FE;Cotisations sociales effectives a la charge des salaries dues non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D59C;Impots sur la depense;AUT;Autriche;EUR;Euro;0
2002;D51C2;Impots sur les gains de detention des societes;AUT;Autriche;EUR;Euro;0
2002;D91C;Autres impots en capital n.c.a.;AUT;Autriche;EUR;Euro;0
2002;D29D;Impots sur les transactions internationales;AUT;Autriche;EUR;Euro;0
2002;D51C3;Autres impots sur les gains de detention n.c.a.;AUT;Autriche;EUR;Euro;0
2002;D995FN;Cotisations sociales effectives a la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0
2002;D6142;Supplements de cotisations autres que de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
2002;D995B;Autres impots sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D995C;Impots sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0
2002;D2122B;Montants compensatoires monetaires preleves a l'importation;AUT;Autriche;EUR;Euro;0
2002;D29F;Impots sur les emissions polluantes;AUT;Autriche;EUR;Euro;0
