annee;cde_pays;pays;montant
2002;AUT;Autriche;311860,65
2003;AUT;Autriche;315663,85
2004;AUT;Autriche;323650,52
2005;AUT;Autriche;331256,87
2006;AUT;Autriche;341905,76
2007;AUT;Autriche;354836,57
2008;AUT;Autriche;360161,04
2009;AUT;Autriche;347230,22
2010;AUT;Autriche;353315,29
2011;AUT;Autriche;363964,22
2012;AUT;Autriche;366246,12
2013;AUT;Autriche;365105,17
2014;AUT;Autriche;368147,7
2015;AUT;Autriche;372711,52
2016;AUT;Autriche;380698,18
2017;AUT;Autriche;389445,51
2018;AUT;Autriche;398953,44
2019;AUT;Autriche;405799,16
2020;AUT;Autriche;380317,88
2021;AUT;Autriche;398953,46
2022;AUT;Autriche;420251,26
2023;AUT;Autriche;416828,41
2024;AUT;Autriche;414166,16
2002;BEL;Belgique;372855,73
2003;BEL;Belgique;376565,74
2004;BEL;Belgique;390014,53
2005;BEL;Belgique;399289,51
2006;BEL;Belgique;409492,04
2007;BEL;Belgique;424332,08
2008;BEL;Belgique;426187,07
2009;BEL;Belgique;418303,29
2010;BEL;Belgique;429433,32
2011;BEL;Belgique;437780,85
2012;BEL;Belgique;438708,38
2013;BEL;Belgique;440099,63
2014;BEL;Belgique;447983,39
2015;BEL;Belgique;454475,9
2016;BEL;Belgique;460040,9
2017;BEL;Belgique;466533,4
2018;BEL;Belgique;475344,69
2019;BEL;Belgique;486938,44
2020;BEL;Belgique;463750,9
2021;BEL;Belgique;492967,2
2022;BEL;Belgique;512444,73
2023;BEL;Belgique;521255,99
2024;BEL;Belgique;526821,02
2002;DEU;Allemagne;2867548,45
2003;DEU;Allemagne;2850294,81
2004;DEU;Allemagne;2884802,04
2005;DEU;Allemagne;2908957,05
2006;DEU;Allemagne;3022830,9
2007;DEU;Allemagne;3109098,89
2008;DEU;Allemagne;3136704,58
2009;DEU;Allemagne;2964168,31
2010;DEU;Allemagne;3084943,59
2011;DEU;Allemagne;3202268,03
2012;DEU;Allemagne;3216070,89
2013;DEU;Allemagne;3229873,74
2014;DEU;Allemagne;3298888,37
2015;DEU;Allemagne;3354099,87
2016;DEU;Allemagne;3430015,85
2017;DEU;Allemagne;3523185,13
2018;DEU;Allemagne;3564593,58
2019;DEU;Allemagne;3599101,04
2020;DEU;Allemagne;3450720
2021;DEU;Allemagne;3585298,17
2022;DEU;Allemagne;3650861,66
