Annee;cde_Pays;pays;Total;Femmes;Hommes
2002;AUT;Autriche;8080292;4161549;3918743
2003;AUT;Autriche;8114402;4175339;3939063
2004;AUT;Autriche;8166432;4199831;3966601
2005;AUT;Autriche;8222090;4224101;3997989
2006;AUT;Autriche;8265675;4243724;4021951
2007;AUT;Autriche;8293654;4257489;4036165
2008;AUT;Autriche;8319388;4270076;4049312
2009;AUT;Autriche;8338752;4278322;4060430
2010;AUT;Autriche;8357367;4287120;4070247
2011;AUT;Autriche;8384901;4299237;4085664
2012;AUT;Autriche;8420328;4313398;4106930
2013;AUT;Autriche;8472176;4335521;4136655
2014;AUT;Autriche;8538350;4364420;4173930
2015;AUT;Autriche;8618709;4395426;4223283
2016;AUT;Autriche;8737663;4442720;4294943
2017;AUT;Autriche;8790624;4467649;4322975
2018;AUT;Autriche;8833192;4488128;4345064
2019;AUT;Autriche;8872344;4507152;4365192
2020;AUT;Autriche;8912293;4526095;4386198
2021;AUT;Autriche;8945279;4540354;4404925
2022;AUT;Autriche;9058407;4600964;4457443
2023;AUT;Autriche;9125730;4627659;4498071
2024;AUT;Autriche;9174908;4651815;4523093
2002;BEL;Belgique;10332786;5278201;5054585
2003;BEL;Belgique;10376131;5299099;5077032
2004;BEL;Belgique;10421136;5321888;5099248
2005;BEL;Belgique;10478620;5351045;5127575
2006;BEL;Belgique;10547956;5385342;5162614
2007;BEL;Belgique;10624835;5422631;5202204
2008;BEL;Belgique;10709108;5463280;5245828
2009;BEL;Belgique;10796498;5506059;5290439
2010;BEL;Belgique;10895591;5554362;5341229
2011;BEL;Belgique;10993609;5601588;5392021
2012;BEL;Belgique;11067748;5637105;5430643
2013;BEL;Belgique;11125033;5664133;5460900
2014;BEL;Belgique;11179778;5690077;5489701
2015;BEL;Belgique;11238474;5717162;5521312
2016;BEL;Belgique;11295003;5742234;5552769
2017;BEL;Belgique;11349081;5766124;5582957
2018;BEL;Belgique;11403740;5790674;5613066
2019;BEL;Belgique;11462023;5817880;5644143
2020;BEL;Belgique;11506938;5838303;5668635
2021;BEL;Belgique;11552615;5859562;5693053
2022;BEL;Belgique;11640788;5905629;5735159
2023;BEL;Belgique;11730606;5951285;5779321
2024;BEL;Belgique;11794601;5980979;5813622
2002;DEU;Allemagne;82488493;42178716;40309777
2003;DEU;Allemagne;82534175;42183725;40350450
2004;DEU;Allemagne;82516268;42161445;40354823
2005;DEU;Allemagne;82469421;42122629;40346792
2006;DEU;Allemagne;82376447;42055883;40320564
2007;DEU;Allemagne;82266373;41978642;40287731
2008;DEU;Allemagne;82110097;41880811;40229286
2009;DEU;Allemagne;81902308;41758360;40143948
2010;DEU;Allemagne;81776936;41668915;40108021
2011;DEU;Allemagne;80274981;41097710;39177271
2012;DEU;Allemagne;80425826;41120365;39305461
2013;DEU;Allemagne;80645605;41176655;39468950
2014;DEU;Allemagne;80982495;41286307;39696188
2015;DEU;Allemagne;81686608;41511818;40174790
2016;DEU;Allemagne;82348669;41743046;40605623
2017;DEU;Allemagne;82657000;41886659;40770341
2018;DEU;Allemagne;82905788;42000654;40905134
2019;DEU;Allemagne;83092956;42090809;41002147
2020;DEU;Allemagne;83160877;42128808;41032069
