annee;cde_age;cde_pays;pays;cde_mesure;mesure;cde_sexe;sexe;age;valeur_mesuree
2002;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2737835
2002;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;65,789
2002;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;769391
2002;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;18,488
2002;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2750699
2002;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;70,193
2002;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;479519
2002;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;65 ans et plus;12,237
2002;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1248910
2002;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;_T;Total;65 ans et plus;15,456
2002;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 a 64 ans;5488534
2002;Y15T64;AUT;Autriche;PT;Pourcentage de la population;_T;Total;De 15 a 64 ans;67,925
2002;Y_LT15;AUT;Autriche;PS;Personnes;_T;Total;Moins de 15 ans;1342863,727
2002;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;_T;Total;Moins de 15 ans;16,619
2002;Y_LT15;AUT;Autriche;PS;Personnes;F;Sexe feminin;Moins de 15 ans;654320,3493
2002;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;Moins de 15 ans;15,723
2002;Y_LT15;AUT;Autriche;PS;Personnes;M;Sexe masculin;Moins de 15 ans;688523,1451
2002;Y_LT15;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;17,57
2003;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe feminin;De 15 a 64 ans;2757964
2003;Y15T64;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;De 15 a 64 ans;66,054
2003;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe feminin;65 ans et plus;767651
2003;Y_GE65;AUT;Autriche;PT;Pourcentage de la population;F;Sexe feminin;65 ans et plus;18,385
2003;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 a 64 ans;2769976
2003;Y15T64;AUT;Autriche;PT;Pourcentage de la population;M;Sexe masculin;De 15 a 64 ans;70,321
